code,name,change_rate,current_price,change_value,buy_price,sell_price,total_volume,total_amount,current_volume,speed_1min,real_change_rate,avg_diff,turnover_rate,order_ratio,total_market_cap,circulating_market_cap,circulation_ratio,speed_4min,deviation_today,deviation_unusual,deviation_10d,deviation_30d,unusual_count_10d,inner_volume,outer_volume,inner_outer_ratio,remark,negative_factor,positive_factor,main_net_volume,volume_ratio,pe_ttm,net_profit,pb_ratio,eps,sub_industry,industry,prev_close,open_price,open_change_rate,auction_turnover,high_price,low_price,change_5d,change_10d,change_20d,ytd_change,amplitude,buy_volume,sell_volume,trade_count,contribution,institution_trend,unusual_type,total_shares,circulating_shares,total_profit,net_profit_growth,bvps,golden_cross_count,retail_count,self_select_time,self_select_price,self_select_profit,listing_date
000652,泰达股份,0.004699999999999999,4.27,0.02,4.26,4.27,12023360.0,51109830.0,589500.0,0.0,0.004699999999999999,0.45,0.008199999999999999,-10.31,6300700300.0,6295954300.0,0.9992,0.0,,,,,,6017740.0,6005620.0,1.0,,,,-0.01,0.86,134.9,70028499.0,1.1,0.048,综合,综合,4.25,4.25,0.0,,4.27,4.21,0.0,0.0264,0.0339,0.038900000000000004,0.0141,201400.0,519300.0,7107.0,,-1.44,,1475573900.0,1474462400.0,38321582.0,-0.4905,3.88,4.0,-1.15,,,,1996-11-28
002035,华帝股份,0.004699999999999999,6.42,0.03,6.41,6.42,8677180.0,55532596.0,180400.0,0.0,0.0031,0.32,0.0111,11.12,5441936200.0,5007715700.0,0.9201999999999999,0.0,,,,,,4658690.0,4018490.0,1.16,,,,-0.01,1.07,12.46,355759640.0,1.4,0.428,厨卫电器,厨卫电器,6.39,6.4,0.0016,,6.42,6.38,0.0031,0.019,0.0305,-0.08810000000000001,0.0063,115800.0,261800.0,6157.0,,-1.66,,847653620.0,780018020.0,406868010.0,-0.11900000000000001,4.58,4.0,0.0,,,,2004-09-01
601065,江盐集团,0.004699999999999999,8.57,0.04,8.56,8.57,4770222.0,40762595.0,35600.0,0.0012,0.0023,0.29,0.0115,-35.42,5508591000.0,3567314600.0,0.6476000000000001,0.0012,,,,,,2193398.0,2576824.0,0.851,,,,-0.04,0.74,18.37,195749210.0,1.24,0.3,无机盐,化学原料,8.53,8.55,0.0023,,8.58,8.5,0.0012,0.0202,0.0313,0.0023,0.009399999999999999,66900.0,76400.0,4646.0,0.0,-7.22,,642776080.0,416256080.0,233862810.0,-0.45159999999999995,6.88,3.0,4.93,,,,2023-04-10
600273,嘉化能源,0.004699999999999999,8.57,0.04,8.56,8.57,15323364.0,131341359.0,123200.0,0.0,0.0023,-0.02,0.0113,-19.05,11628457500.0,11628457500.0,1.0,0.0,,,,,,8577974.0,6745390.0,1.27,,,,-0.04,1.09,11.18,822696940.0,1.15,0.613,其他化学制品,化学制品,8.53,8.55,0.0023,,8.62,8.54,0.0070999999999999995,0.0313,0.0388,0.1321,0.009399999999999999,174100.0,125300.0,16847.0,0.0,-7.5,,1356879500.0,1356879500.0,935395090.0,0.0405,7.42,2.0,6.03,,,,2003-06-27
600824,益民集团,0.004699999999999999,4.29,0.02,4.28,4.29,10625964.0,45409173.0,99000.0,0.0,0.004699999999999999,0.39,0.0101,-17.94,4521776100.0,4521776100.0,1.0,0.0,,,,,,4681044.0,5944920.0,0.787,,,,-0.11,0.72,241.8,19214747.0,1.87,0.018,百货零售,零售,4.27,4.27,0.0,,4.3,4.25,-0.0092,0.006999999999999999,0.0166,-0.0364,0.011699999999999999,81000.0,167400.0,8441.0,0.0,-26.08,,1054027070.0,1054027070.0,34402080.0,-0.4639,2.29,4.0,-1.19,,,,1994-02-04
300701,森霸传感,0.004699999999999999,12.89,0.06,12.89,12.9,6181650.0,79261934.0,38700.0,0.0,0.0086,0.53,0.0248,-24.48,3644455700.0,3211180300.0,0.8811,0.0,,,,,,3092250.0,3089400.0,1.0,,,,-0.34,0.64,57.07,61311802.0,3.74,0.217,光学元件,光学光电子,12.83,12.78,-0.0039000000000000003,,12.93,12.67,-0.0242,0.0337,-0.0416,0.27,0.0203,14200.0,32900.0,10714.0,,-40.66,,282735120.0,249121820.0,73836292.0,0.6633,3.44,2.0,55.58,,,,2017-09-15
301298,东利机械,0.004699999999999999,17.2,0.08,17.2,17.22,2571200.0,44160082.0,27100.0,-0.0012,0.0034999999999999996,0.15,0.023799999999999998,-60.0,2524960000.0,1861117300.0,0.7371,-0.0012,,,,,,1314700.0,1256500.0,1.05,,,,0.02,1.0,37.88,57474571.0,2.69,0.398,其他汽车零部件,汽车零部件,17.12,17.14,0.0012,,17.42,17.04,-0.016,0.0269,0.0361,0.276,0.0222,600.0,3600.0,7334.0,,4.48,,146800000.0,108204492.0,63581876.0,0.0768,6.4,1.0,0.0,,,,2022-06-06
002673,西部证券,0.004699999999999999,8.63,0.04,8.62,8.63,37288102.0,318738480.0,456300.0,0.0012,0.006999999999999999,0.95,0.0091,-13.09,38572490000.0,35462214000.0,0.9194,0.0012,,,,,,17075253.0,20212849.0,0.845,,,,-0.11,0.81,20.11,1243466170.0,1.3,0.279,证券,证券,8.59,8.57,-0.0023,,8.63,8.48,0.0023,0.0286,0.0335,0.0721,0.0175,68700.0,401700.0,26979.0,0.05,-22.51,,4469581700.0,4109178900.0,1690397700.0,0.7062999999999999,6.64,3.0,15.47,,,,2012-05-03
001296,长江材料,0.0046,23.77,0.11,23.76,23.77,2072300.0,48937644.0,37400.0,-0.0004,0.003,0.65,0.027000000000000003,-53.68,3555780100.0,1826756300.0,0.5136999999999999,-0.0004,,,,,,1058780.0,1013520.0,1.04,,,,-0.11,0.58,24.99,113701765.0,2.0,0.778,非金属材料,非金属材料,23.66,23.7,0.0017000000000000001,,23.81,23.41,-0.0104,0.0435,0.0513,0.4048,0.0169,1100.0,15700.0,5065.0,,-48.27,,149591090.0,76851339.0,142846170.0,0.22690000000000002,11.9,3.0,10.65,,,,2021-12-24
003005,竞业达,0.0046,21.74,0.1,21.73,21.74,3815720.0,82482280.0,69000.0,0.0005,-0.0023,0.57,0.0301,-26.34,5030390100.0,2760506200.0,0.5488000000000001,0.0005,,,,,,2043990.0,1771730.0,1.15,,,,-0.07,0.52,,-33606827.0,2.8,-0.145,IT服务,IT服务,21.64,21.79,0.0069,,21.8,21.46,-0.042699999999999995,-0.0745,0.0362,0.13570000000000002,0.015700000000000002,42800.0,62820.0,6711.0,,-13.14,,231388690.0,126978206.0,-31281076.0,-2.381,7.77,2.0,31.34,,,,2020-09-22
