.	代码	    名称	.	涨幅	现价	涨跌	买价	卖价	总手	总金额	现手	1分钟涨速	实体涨幅	现均差%	换手	委比%	总市值	流通市值	流通比例	4分钟涨速	当日偏离值	异动偏离值	10日内偏离值	30日内偏离值	10日异动次数	内盘	外盘	内外比	备注	利空	利好	主力净量	量比	TTM市盈率	净利润	市净率	每股盈利	细分行业	所属行业	昨收	开盘	开盘涨幅	竞价换手	最高	最低	5日涨幅	10日涨幅	20日涨幅	年初至今	振幅	买量	卖量	笔数	贡献度	机构动向	异动类型	总股本	流通股本	利润总额	净利润增长率	每股净资产	金叉个数	散户数量	自选时间	自选价格	自选收益	上市日期	
4	SZ300865	大宏立	--	+11.29%	33.02	+3.35	33.01	33.02	7349215	234628220	2100↑	+0.00%	+10.14%	+3.69	13.06%	-79.91	3159353600	1857422500	58.79%	+0.00%	--	--	--	--	--	3013570	4335645	0.695	--	无	无	1.57	2.56		10421158	3.63	0.109	能源及重型设备	专用设备	29.67	29.98	+1.04%	0.02%	33.92	29.71	+2.74%	+8.12%	+11.40%	+41.47%	14.19%	800	23770	14881	--	25.90	--	95680000	56251438	12043404亿	-44.69%	9.09	8	-719.93	--	--	--	20200824	
	SZ300816	艾可蓝	--	+11.25%	43.82	+4.43	43.80	43.82	6403801	269869310	90100↑	-0.09%	+10.54%	+4.26	11.30%	-40.91	3505600000	2483216800	70.84%	-0.09%	--	--	--	--	--	2621450	3782351	0.693	--	无	无	0.25	2.38	48.42	74081547	3.86	0.937	其他汽车零部件	汽车零部件	39.39	39.64	+0.63%	0.01%	44.50	39.10	+12.88%	+20.52%	+18.51%	+71.78%	13.71%	300	2900	20534	--	4.43	--	80000000	56668571	101428045亿	43.67%	11.35	6	-165.10	--	--	--	20200210	
4	SZ002554	惠博普	--	+10.15%	3.69	+0.34	3.69	--	88559362	313949200	116000↑	+0.00%	+9.50%	+4.33	6.64%	+100.00	4921427100	4920506200	99.98%	+0.00%	--	--	--	--	--	33651195	54908167	0.613	--	无	无	1.69	1.27		10526718	2.08	0.010	油服工程	油气开采及服务	3.35	3.37	+0.60%	0.02%	3.69	3.36	+9.17%	+15.31%	+22.19%	+47.01%	9.85%	22969063	0	30861	--	34.88	--	1333720070	1333470530	-19552497亿	113.7%	1.78	5	-109.75	--	--	--	20110225	
4	SH600759	洲际油气	--	+10.13%	2.61	+0.24	2.61	--	506106660	1292793120	1511500↑	+0.00%	+10.13%	+2.35	12.21%	+100.00	10828914200	10815019900	99.87%	+0.00%	--	--	--	--	--	292494320	213612340	1.37	--	无	无	2.38	2.96	26.09	83076094	1.23	0.021	油气开采	油气开采及服务	2.37	2.37	+0.00%	0.01%	2.61	2.37	+10.13%	+8.30%	+14.98%	+14.98%	10.13%	19779200	--	63370	+0.05	15.02	--	4149009300	4143685800	235615160亿	-46.61%	2.12	9	183.10	--	--	--	19961008	
	SZ002418	康盛股份	--	+10.11%	5.23	+0.48	5.23	--	230756530	1143393050	4617900↑	+0.00%	+10.11%	+5.79	20.31%	+100.00	5943372000	5943358100	100.00%	+0.00%	--	--	--	--	--	116160661	114595869	1.01	--	无	无	4.16	1.91		13832834	4.13	0.012	家电零部件	白色家电	4.75	4.75	+0.00%	0.24%	5.23	4.66	+23.64%	+24.82%	+13.70%	+114.34%	12.00%	4028577	0	91054	--	32.03	--	1136400000	1136397340	14647036亿	240.2%	1.27	2	-207.40	--	--	--	20100601	
	SZ000620	盈新发展	--	+10.08%	2.73	+0.25	2.73	--	478263800	1260267430	185800↑	+0.00%	+11.43%	+3.83	10.24%	+100.00	16030055000	12753874300	79.56%	+0.00%	--	--	--	--	--	243725750	234538050	1.04	--	无	无	1.78	0.88		-485995910	3.58	-0.083	住宅开发	房地产	2.48	2.45	-1.21%	0.18%	2.73	2.41	-5.86%	+51.67%	+68.52%	+24.66%	12.90%	50854530	0	86787	--	15.20	--	5871815000	4671748800	-491996930亿	-682.0%	0.76	0	-43.65	--	--	--	19961029	
	SZ000632	三木集团	--	+10.05%	4.60	+0.42	4.60	--	30664100	136654100	313600↑	+0.00%	+9.00%	+3.43	6.59%	+100.00	2141390000	2141215400	99.99%	+0.00%	--	--	--	--	--	18664250	11999850	1.56	--	无	无	1.49	0.55		-136649390	2.43	-0.294	综合	综合	4.18	4.22	+0.96%	0.16%	4.60	4.19	+5.02%	+15.29%	+20.10%	+25.34%	9.81%	15856400	0	9730	--	24.82	--	465519570	465481610	-134734410亿	-49.90%	1.89	8	115.10	--	--	--	19961121	
	SH601512	中新集团	--	+10.04%	10.19	+0.93	10.19	--	19823853	193918180	38900↑	+0.00%	+10.52%	+4.41	1.32%	+100.00	15273689000	15273689000	100.00%	+0.00%	--	--	--	--	--	10169850	9654003	1.05	--	无	无	0.40	3.95	19.22	830062600	1.01	0.550	产业地产	房地产	9.26	9.22	-0.43%	0.00%	10.19	9.16	+7.15%	+8.17%	+8.17%	+34.93%	11.12%	3272700	--	22065	+0.07	57.10	--	1498890000	1498890000	1238899500亿	23.46%	10.06	10	-14.98	--	--	--	20191220	
	SZ002634	棒杰股份	--	+10.04%	5.59	+0.51	5.59	--	32669420	177108150	9400↑	+0.00%	+6.68%	+3.32	7.32%	+100.00	2567780500	2496016300	97.21%	+0.00%	--	--	--	--	--	16685130	15984290	1.04	--	无	无	1.43	1.54		-905064070		-0.340	服装	服装家纺	5.08	5.24	+3.15%	0.14%	5.59	5.19	+13.62%	+12.25%	+13.85%	+48.67%	7.87%	11999480	0	16155	--	26.92	--	459352510	446514540	-1057609570亿	-373.2%	-1.32	5	13.59	--	--	--	20111205	
4	SH600667	太极实业	--	+10.03%	9.54	+0.87	9.54	--	389002350	3545547700	1018300↑	+0.00%	+10.93%	+4.91	18.60%	+100.00	19953312000	19953312000	100.00%	+0.00%	--	--	--	--	--	220784520	168217830	1.31	--	无	无	4.05	2.20	34.05	441727820	2.31	0.210	工程咨询服务	建筑装饰	8.67	8.60	-0.81%	0.03%	9.54	8.16	+5.53%	+17.78%	+23.10%	+39.78%	15.92%	8932000	--	182832	+0.09	24.76	--	2091542200	2091542200	626796980亿	-13.92%	4.14	7	-137.33	--	--	--	19930728	
