.	代码	    名称	.	涨幅	现价	涨跌	买价	卖价	总手	总金额	现手	1分钟涨速	实体涨幅	现均差%	换手	委比%	总市值	流通市值	流通比例	4分钟涨速	当日偏离值	异动偏离值	10日内偏离值	30日内偏离值	10日异动次数	内盘	外盘	内外比	备注	利空	利好	主力净量	量比	TTM市盈率	净利润	市净率	每股盈利	细分行业	所属行业	昨收	开盘	开盘涨幅	竞价换手	最高	最低	5日涨幅	10日涨幅	20日涨幅	年初至今	振幅	买量	卖量	笔数	贡献度	机构动向	异动类型	总股本	流通股本	利润总额	净利润增长率	每股净资产	金叉个数	散户数量	自选时间	自选价格	自选收益	上市日期	
4	SH601388	怡球资源	--	+0.96%	3.16	+0.03	3.15	3.16	61862480	192775490	1347700--	+0.00%	+1.28%	+1.40	2.81%	-28.68	6955863500	6955863500	100.00%	+0.00%	--	--	--	--	--	33594592	28267888	1.19	--	无	无	-0.25	0.59	179.3	97507393	1.52	0.040	铝	工业金属	3.13	3.12	-0.32%	--	3.16	3.07	+6.04%	+8.97%	+12.06%	+28.46%	2.88%	1004500	606100	34568	+0.00	-13.38	--	2201222600	2201222600	126579024亿	26.19%	2.08	1	10.57	--	--	--	20120423	
4	SZ300983	尤安设计	--	+0.96%	23.19	+0.22	23.18	23.19	1037103	23932498	21700--	+0.00%	+0.96%	+0.50	0.88%	-39.02	4007232000	2742970400	68.45%	+0.00%	--	--	--	--	--	514639	522464	0.985	--	无	无	-0.05	0.76		-17842793	1.41	-0.103	工程咨询服务	建筑装饰	22.97	22.97	+0.00%	--	23.33	22.81	-2.44%	-2.93%	+4.70%	+37.14%	2.26%	4824	10400	2029	--	-18.93	--	172800000	118282465	-17483751亿	59.23%	16.40	3	17.29	--	--	--	20210420	
	SZ300135	宝利国际	--	+0.96%	4.22	+0.04	4.21	4.22	16320553	68622735	300--	-0.24%	+0.96%	+0.37	1.77%	-6.00	3889152000	3889152000	100.00%	-0.24%	--	--	--	--	--	7921850	8398703	0.943	--	无	无	-0.04	0.87	748.1	-10128718	4.11	-0.011	石油加工	石油加工贸易	4.18	4.18	+0.00%	--	4.23	4.16	-0.94%	-2.99%	-3.65%	+6.84%	1.67%	168500	89700	7670	--	-3.13	--	921600000	921600000	-2523223亿	-245.2%	1.03	4	4.62	--	--	--	20101026	
4	SZ002061	浙江交科	--	+0.96%	4.22	+0.04	4.22	4.23	24736953	104015243	234900--	-0.24%	+0.72%	+0.36	0.95%	-14.17	11269727000	10968361900	97.33%	-0.24%	--	--	--	--	--	12508948	12228005	1.02	--	无	无	-0.09	0.72	9.51	714522930	0.715	0.270	基础建设	建筑装饰	4.18	4.19	+0.24%	--	4.23	4.18	-2.77%	+0.72%	+1.69%	+6.70%	1.20%	33000	467190	17090	--	-22.50	--	2670551400	2599137900	1042314160亿	-14.83%	5.90	2	11.14	--	--	--	20060816	
	SH600226	亨通股份	--	+0.96%	4.22	+0.04	4.21	4.22	52018281	217507030	235800--	+0.00%	+0.72%	+0.92	1.75%	-4.30	12551888800	12551888800	100.00%	+0.00%	--	--	--	--	--	24418542	27599739	0.885	--	无	无	-0.04	0.56	65.81	188653760	3.47	0.060	热力	电力	4.18	4.19	+0.24%	--	4.24	4.08	-7.25%	-2.09%	-3.21%	+65.49%	3.83%	308408	344956	27711	+0.01	-3.44	--	2974381200	2974381200	198244000亿	0.679%	1.22	4	5.05	--	--	--	19991116	
4	SZ002583	海能达	--	+0.96%	11.61	+0.11	11.60	11.61	29648581	342083910	729400--	+0.00%	+0.61%	+0.63	2.31%	-25.89	21114171000	14892391000	70.53%	+0.00%	--	--	--	--	--	14484614	15163967	0.955	--	无	无	0.04	0.91		186109490	8.26	0.102	通信网络设备及器件	通信设备	11.50	11.54	+0.35%	--	11.61	11.43	+1.66%	+5.93%	+1.75%	-18.30%	1.57%	291400	359800	35102	--	4.77	--	1818619400	1282721050	197287290亿	-26.00%	1.41	2	-3.95	--	--	--	20110527	
4	SZ002294	信立泰	--	+0.96%	60.18	+0.57	60.18	60.19	8949901	535801270	50867--	+0.02%	+1.19%	+0.53	0.80%	+40.67	67089659000	67074566000	99.98%	+0.02%	--	--	--	--	--	4627967	4321934	1.07	--	无	无	0.02	1.04	99.75	580706640	7.65	0.520	化学制剂	化学制药	59.61	59.47	-0.23%	--	60.90	57.96	+7.37%	+7.98%	-0.79%	+97.77%	4.93%	11233	900	29171	+0.19	4.79	--	1114816540	1114565740	650698780亿	13.93%	7.87	0	-0.83	--	--	--	20090910	
	SZ003029	吉大正元	--	+0.96%	28.51	+0.27	28.50	28.51	14952200	420599400	264500--	-0.04%	+1.17%	+1.35	8.63%	-35.68	5520112700	4938986300	89.47%	-0.04%	--	--	--	--	--	7790400	7161800	1.09	--	无	无	-0.23	0.71		-73617049	5.11	-0.380	横向通用软件	软件开发	28.24	28.18	-0.21%	--	28.95	27.25	+6.46%	+7.30%	+17.37%	+30.66%	6.02%	18400	151600	31997	--	-10.35	--	193620230	173236980	-65340418亿	-3.26%	5.58	1	45.86	--	--	--	20201224	
	SZ300594	朗进科技	--	+0.96%	19.02	+0.18	19.01	19.03	4006500	76290414	30200--	-0.26%	+0.37%	-0.11	4.40%	-40.40	1747433000	1730784300	99.05%	-0.26%	--	--	--	--	--	2537500	1469000	1.73	--	无	无	0.73	1.51		-13501996	2.11	-0.150	轨交设备	轨交设备	18.84	18.95	+0.58%	--	19.24	18.64	+1.60%	+7.82%	+6.67%	+10.97%	3.18%	100	6000	7561	--	34.77	--	91873450	90998125	-13231548亿	68.81%	8.99	3	-69.88	--	--	--	20190621	
	SH603239	浙江仙通	--	+0.95%	19.04	+0.18	19.04	19.05	5544399	105053271	145800--	-0.16%	+1.28%	+0.49	2.05%	+10.54	5154508800	5154508800	100.00%	-0.16%	--	--	--	--	--	2705650	2838749	0.953	--	无	无	0.06	0.50	26.54	151670610	4.11	0.560	其他汽车零部件	汽车零部件	18.86	18.80	-0.32%	--	19.11	18.76	-3.35%	+2.31%	-14.35%	+43.81%	1.86%	8300	200	10220	+0.00	14.46	--	270720000	270720000	173165440亿	17.40%	4.63	1	-6.01	--	--	--	20161230	
32	SH688329	艾隆科技	--	+0.95%	22.25	+0.21	22.24	22.25	2485453	54989429	17900--	-0.04%	-0.85%	+0.57	3.22%	-6.76	1717700000	1717700000	100.00%	-0.05%	--	--	--	--	--	1468342	1017111	1.44	--	无	无	-0.10	1.08	328.2	-958883	2.21	-0.010	其他自动化设备	自动化设备	22.04	22.44	+1.81%	--	22.44	21.76	+4.31%	+12.15%	+6.92%	+62.53%	3.09%	25000	503	8314	+0.00	-12.06	--	77200000	77200000	-2614580亿	96.56%	10.06	2	30.98	--	--	--	20210329	
	SH600382	广东明珠	--	+0.95%	7.42	+0.07	7.41	7.42	30610482	227374890	208800--	+0.14%	-0.27%	-0.11	4.41%	-2.92	5152508000	5152508000	100.00%	+0.14%	--	--	--	--	--	14736935	15873547	0.928	--	无	无	-0.12	0.99	23.77	233726420	1.81	0.360	冶钢原料	钢铁	7.35	7.44	+1.22%	--	7.57	7.32	+3.20%	-1.33%	+25.34%	+72.56%	3.40%	120000	117200	30666	+0.00	-9.66	--	694408090	694408090	324953220亿	941.1%	4.09	1	17.25	--	--	--	20010118	
	SZ300786	国林科技	--	+0.95%	16.97	+0.16	16.97	16.98	8992020	150587570	500--	+0.00%	+1.01%	+1.33	6.13%	-61.13	3122749500	2488556200	79.69%	+0.00%	--	--	--	--	--	4718420	4273600	1.10	--	无	无	-0.56	0.63		-17727215	2.81	-0.100	环保设备	环保设备	16.81	16.80	-0.06%	--	16.99	16.52	-4.50%	-3.14%	+3.79%	+22.09%	2.80%	2800	9100	13991	--	-19.46	--	184015880	146644440	-19912069亿	49.83%	6.03	4	78.89	--	--	--	20190723	
4	SH600674	川投能源	--	+0.95%	14.86	+0.14	14.85	14.86	17430349	257994910	81100--	+0.00%	+0.88%	+0.40	0.36%	-65.96	72436657000	72436657000	100.00%	+0.00%	--	--	--	--	--	7499573	9930776	0.755	--	无	无	-0.03	0.69	16.82	4221306300	1.63	0.866	水电	电力	14.72	14.73	+0.07%	--	14.86	14.72	-1.07%	+0.07%	+3.63%	-11.81%	0.95%	32300	325571	22883	+0.04	-13.34	--	4874606800	4874606800	4339497100亿	-4.54%	9.11	1	4.69	--	--	--	19930924	
32	SH688158	优刻得-W	--	+0.95%	25.48	+0.24	25.48	25.49	16845480	425098190	24--	+0.04%	+0.47%	+0.97	4.15%	-36.30	11626653500	10331475200	88.86%	+0.04%	--	--	--	--	--	8105002	8740478	0.927	--	无	无	-0.30	1.12		-83425231	4.83	-0.180	IT服务	IT服务	25.24	25.36	+0.48%	--	25.52	24.94	+3.58%	+4.94%	-1.85%	+82.26%	2.30%	1166	47706	28621	+0.01	-10.49	--	456305080	405473910	-75787666亿	49.53%	5.27	0	95.80	--	--	--	20200120	
32	SH688325	赛微微电	--	+0.95%	90.33	+0.85	90.33	90.48	1202375	107518784	14333--	-0.35%	+0.86%	+1.01	1.50%	-64.82	7780937200	7226400000	92.87%	-0.35%	--	--	--	--	--	631116	571259	1.10	--	无	无	-0.16	0.59	96.33	62000828	4.53	0.745	模拟芯片设计	半导体	89.48	89.56	+0.09%	--	90.88	87.80	-1.33%	+0.40%	-18.74%	+85.86%	3.44%	680	500	3322	+0.00	-14.07	--	86139015	80000000	62283560亿	3.23%	19.96	1	131.20	--	--	--	20220422	
	SH600727	鲁北化工	--	+0.95%	7.44	+0.07	7.43	7.44	6465657	48201736	34800--	+0.00%	+0.00%	-0.20	1.22%	+9.67	3932658500	3932212100	99.99%	+0.00%	--	--	--	--	--	3529857	2935800	1.20	--	无	无	-0.12	1.09	58.49	43388610	1.23	0.080	其他化学制品	化学制品	7.37	7.44	+0.95%	--	7.57	7.40	-1.72%	-0.40%	+0.95%	+1.78%	2.31%	235000	600	4966	+0.00	-35.61	--	528583140	528523140	144439630亿	-81.70%	6.06	2	19.71	--	--	--	19960702	
4	SZ301182	凯旺科技	--	+0.95%	37.28	+0.35	37.27	37.28	1955700	72330231	35400--	+0.03%	+0.78%	+0.80	2.04%	-0.44	3572233000	3572233000	100.00%	+0.03%	--	--	--	--	--	1061000	894700	1.19	--	无	无	0.10	0.49		-50715616	4.68	-0.529	消费电子零部件及组装	消费电子	36.93	36.99	+0.16%	--	37.28	36.56	-5.74%	+1.30%	+6.45%	+6.94%	1.95%	4800	3700	7631	--	14.30	--	95821700	95821700	-66045363亿	-31.87%	7.96	1	-26.75	--	--	--	20211223	
	SZ000953	河化股份	--	+0.95%	7.46	+0.07	7.45	7.46	9121900	67937790	94800--	-0.13%	+0.81%	+0.17	2.49%	-56.98	2731271600	2731271600	100.00%	-0.13%	--	--	--	--	--	4431600	4690300	0.945	--	无	无	-0.15	0.94	345.9	7933176	17.72	0.022	原料药	化学制药	7.39	7.40	+0.14%	--	7.49	7.38	-0.80%	+0.67%	+3.18%	+33.45%	1.49%	89200	3100	10097	--	-29.40	--	366122200	366122200	8492798亿	-89.99%	0.42	6	29.61	--	--	--	19991202	
4	SZ300348	长亮科技	--	+0.95%	14.93	+0.14	14.92	14.93	16226608	240735180	288637--	+0.00%	+1.43%	+0.64	2.29%	-34.41	12108800300	10577797700	87.36%	+0.00%	--	--	--	--	--	7709055	8517553	0.905	--	无	无	0.00	0.89	3772	-11393858	5.72	-0.014	垂直应用软件	软件开发	14.79	14.72	-0.47%	--	14.94	14.71	+1.70%	+5.07%	+0.74%	+4.46%	1.56%	62500	91963	21988	--	0.07	--	811038200	708492820	-11650373亿	-386.2%	2.61	2	-7.29	--	--	--	20120817	
	SZ002282	博深股份	--	+0.94%	7.48	+0.07	7.48	7.49	5416700	40345812	56500--	-0.13%	+0.54%	+0.43	1.07%	-51.96	3940750800	3777457100	95.86%	-0.13%	--	--	--	--	--	2300600	3116100	0.738	--	无	无	-0.05	0.85	21.58	155637360	1.09	0.300	磨具磨料	通用设备	7.41	7.44	+0.40%	--	7.49	7.39	+0.27%	-0.27%	+6.40%	+3.74%	1.35%	300	76500	7370	--	-23.35	--	526838350	505007640	181494860亿	-5.53%	6.87	2	4.37	--	--	--	20090821	
	SZ001230	劲旅环境	--	+0.94%	23.51	+0.22	23.51	23.52	1750960	41211428	27100--	+0.00%	+1.21%	-0.11	3.30%	+60.68	3155654600	1247856120	39.54%	+0.00%	--	--	--	--	--	840300	910660	0.923	--	无	无	-0.04	1.08	20.85	124880365	1.63	0.940	固废治理	环境治理	23.29	23.23	-0.26%	--	23.73	23.22	+0.60%	+5.62%	-0.04%	+45.57%	2.19%	33900	2000	6359	--	-9.68	--	134226060	53077674	159743350亿	9.36%	14.39	2	0.00	--	--	--	20220715	
	SZ002394	联发股份	--	+0.94%	11.76	+0.11	11.76	11.77	13777000	161091650	187600--	+0.09%	+1.03%	+0.58	4.26%	-8.76	3806712000	3801838700	99.87%	+0.09%	--	--	--	--	--	8189832	5587168	1.47	--	无	无	-0.04	0.90	11.38	263557120	0.881	0.814	棉纺	纺织制造	11.65	11.64	-0.09%	--	11.86	11.50	+3.61%	+2.53%	+0.51%	+58.49%	3.09%	89000	32400	16539	--	-2.98	--	323700000	323285610	326302910亿	101.9%	13.36	1	18.04	--	--	--	20100423	
4	SZ002463	沪电股份	--	+0.94%	71.63	+0.67	71.62	71.63	54192404	3814716100	604100--	+0.00%	+2.23%	+1.74	2.82%	-11.13	137842160000	137730920000	99.92%	+0.00%	--	--	--	--	--	30450962	23741442	1.28	--	无	无	0.24	0.81	39.88	2717618000	9.88	1.41	印制电路板	元件	70.96	70.07	-1.25%	--	71.66	68.90	-7.59%	+6.99%	-0.54%	+82.96%	3.89%	43200	44800	147124	+0.39	11.98	--	1924363500	1922810500	3110004900亿	47.03%	7.25	0	-82.37	--	--	--	20100818	
	SZ002982	湘佳股份	--	+0.94%	14.97	+0.14	14.96	14.97	2281838	34159627	75300--	+0.07%	+0.40%	-0.00	1.76%	+3.07	3041813700	1944241900	63.92%	+0.07%	--	--	--	--	--	1076854	1204984	0.894	--	无	无	0.05	0.87	96.69	22348196	1.92	0.110	肉鸡养殖	养殖业	14.83	14.91	+0.54%	--	15.08	14.83	-1.06%	+2.82%	+1.91%	+19.42%	1.69%	43900	41600	4426	--	15.49	--	203193970	129875880	25440169亿	-74.89%	7.81	4	-7.94	--	--	--	20200424	
32	SH688253	英诺特	--	+0.94%	32.08	+0.30	32.06	32.08	2740048	88222870	9753--	-0.03%	+0.25%	-0.37	3.95%	+30.97	4394456900	2224324500	50.62%	-0.03%	--	--	--	--	--	1352968	1387080	0.975	--	无	无	0.54	1.56	32.93	131187757	2.16	0.960	体外诊断	医疗器械	31.78	32.00	+0.69%	--	32.75	31.58	+2.07%	+3.85%	+3.08%	-10.14%	3.68%	8925	959	4156	+0.00	24.43	--	136984320	69336800	147055100亿	-46.37%	14.84	2	-256.73	--	--	--	20220728	
4	SZ002239	奥特佳	--	+0.94%	3.21	+0.03	3.20	3.21	70437286	224386780	1787000--	+0.31%	+1.26%	+0.77	2.16%	-0.94	10621356600	10480916100	98.68%	+0.31%	--	--	--	--	--	32886730	37550556	0.876	--	无	无	0.11	0.97	84.01	112618660	1.90	0.035	汽车电子电气系统	汽车零部件	3.18	3.17	-0.31%	--	3.21	3.15	+1.26%	+4.22%	-3.60%	+5.35%	1.89%	2509000	897560	32862	--	7.34	--	3308833800	3265082900	144113730亿	22.46%	1.69	3	-7.88	--	--	--	20080522	
	SZ300283	温州宏丰	--	+0.94%	7.50	+0.07	7.50	7.51	26694201	198787360	397186--	-0.13%	+0.67%	+0.72	7.27%	+6.70	3727336700	2754138800	73.89%	-0.13%	--	--	--	--	--	13516366	13177835	1.03	--	无	无	0.47	0.54		11788639	3.25	0.030	输变电设备	电网设备	7.43	7.45	+0.27%	--	7.53	7.35	+2.60%	+12.78%	+8.23%	+36.61%	2.42%	259441	30300	32684	--	14.95	--	496978220	367218500	-5457306亿	194.0%	2.31	0	-104.53	--	--	--	20120110	
	SZ300200	高盟新材	--	+0.94%	10.73	+0.10	10.72	10.73	15773860	167305840	274900--	+0.00%	+0.94%	+1.16	3.73%	-25.32	4624342500	4541612700	98.21%	+0.00%	--	--	--	--	--	8274550	7499310	1.10	--	无	无	-0.11	0.68	33.19	114470194	2.82	0.270	聚氨酯	化学制品	10.63	10.63	+0.00%	--	10.74	10.45	-2.63%	+6.87%	+4.58%	+31.98%	2.73%	63700	123300	17215	--	-6.22	--	430973210	423263060	128142589亿	3.58%	3.81	1	-10.82	--	--	--	20110407	
32	SH688426	康为世纪	--	+0.94%	28.98	+0.27	28.96	28.98	1266494	36030739	17539--	-0.45%	+0.94%	+1.85	3.33%	-12.32	3260067900	1101046760	33.77%	-0.45%	--	--	--	--	--	642356	624138	1.03	--	无	无	-0.09	1.16		-76162601	2.34	-0.690	体外诊断	医疗器械	28.71	28.71	+0.00%	--	29.11	27.88	+2.66%	+5.57%	+7.73%	+1.29%	4.28%	2333	4657	2756	+0.00	-7.08	--	112493716	37993332	-81880016亿	20.37%	12.36	0	12.10	--	--	--	20221025	
4	SZ002051	中工国际	--	+0.94%	8.59	+0.08	8.58	8.59	11366563	97167848	232700--	+0.00%	+0.82%	+0.49	0.92%	+10.90	10629342800	10628731000	99.99%	+0.00%	--	--	--	--	--	4973589	6392974	0.778	--	无	有	0.00	0.87	37.33	246834320	0.918	0.200	专业工程	建筑装饰	8.51	8.52	+0.12%	--	8.60	8.49	-0.69%	+1.66%	+4.76%	+6.91%	1.29%	92180	71800	9670	--	0.24	--	1237408940	1237337720	347729960亿	-23.68%	9.35	6	13.30	--	--	--	20060619	
	SH603053	成都燃气	--	+0.94%	10.75	+0.10	10.75	10.76	5013821	53606979	114200--	+0.19%	+0.56%	+0.55	0.56%	+24.29	9555567500	9555567500	100.00%	+0.19%	--	--	--	--	--	2229071	2784750	0.801	--	无	无	-0.03	0.87	19.69	416350930	1.98	0.470	燃气	燃气	10.65	10.69	+0.38%	--	10.75	10.62	-1.19%	-7.57%	+3.66%	+10.48%	1.22%	2500	40500	4583	+0.00	-15.11	--	888890000	888890000	512982350亿	-0.842%	5.43	5	6.15	--	--	--	20191217	
4	SZ001387	雪祺电气	--	+0.94%	13.98	+0.13	13.97	13.98	1748370	24395531	28500--	-0.07%	+0.43%	+0.19	1.53%	-55.74	2558876800	1592466500	62.23%	-0.07%	--	--	--	--	--	834650	913720	0.914	--	无	无	0.01	0.68	27.25	46396237	2.05	0.261	冰洗	白色家电	13.85	13.92	+0.51%	--	14.02	13.86	-0.14%	+3.63%	+4.33%	+2.27%	1.16%	9600	42800	3929	--	10.70	--	183038400	113910333	48203097亿	-14.98%	6.83	3	0.00	--	--	--	20240111	
32	SH688157	松井股份	--	+0.94%	33.36	+0.31	33.36	33.37	1961919	65152115	4591--	+0.09%	+0.48%	+0.46	1.25%	-2.67	5218540800	5218540800	100.00%	+0.09%	--	--	--	--	--	1052673	909246	1.16	--	无	无	0.10	1.54	129.4	25157348	3.86	0.160	涂料油墨	化学制品	33.05	33.20	+0.45%	--	34.08	32.37	-0.86%	+0.97%	-9.35%	+19.51%	5.17%	215	1993	5247	+0.00	21.26	--	156431080	156431080	24313035亿	-64.68%	8.65	2	-19.12	--	--	--	20200609	
4	SH601825	沪农商行	--	+0.94%	8.61	+0.08	8.61	8.62	18147674	155556220	135000--	-0.12%	+0.82%	+0.45	0.19%	-46.45	83038667000	80713940000	97.20%	-0.12%	--	--	--	--	--	7612118	10535556	0.723	--	无	无	0.01	0.90	6.71	10567377000	0.659	1.10	农商行	银行	8.53	8.54	+0.12%	--	8.63	8.47	-1.71%	-2.05%	+4.24%	+6.61%	1.88%	86200	156400	23037	+0.04	10.55	--	9644444400	9374441400	12999372000亿	0.784%	13.06	3	-1.18	--	--	--	20210819	
4	SZ000928	中钢国际	--	+0.94%	6.46	+0.06	6.45	6.46	21438320	137586340	97400--	+0.00%	+0.94%	+0.66	1.49%	-53.06	9267804300	9267690900	100.00%	+0.00%	--	--	--	--	--	11000886	10437434	1.05	--	无	无	0.02	0.57	12.35	555710490	1.10	0.387	专业工程	建筑装饰	6.40	6.40	+0.00%	--	6.47	6.35	-4.72%	-0.31%	+4.87%	+6.41%	1.88%	13500	168634	18661	--	2.76	--	1434644600	1434627100	754353640亿	-13.21%	5.89	3	-9.61	--	--	--	19990312	
	SZ000978	桂林旅游	--	+0.93%	6.48	+0.06	6.47	6.48	8591800	55439591	96500--	+0.00%	+0.93%	+0.43	1.84%	-15.30	3033482400	3033419200	100.00%	+0.00%	--	--	--	--	--	3997550	4594250	0.870	--	无	无	-0.09	0.85		35767786	2.74	0.076	自然景点	旅游及酒店	6.42	6.42	+0.00%	--	6.49	6.40	+2.05%	+2.86%	+0.15%	+7.28%	1.40%	43700	39700	12361	--	-27.67	--	468130000	468120250	42622579亿	425.8%	2.37	2	7.42	--	--	--	20000518	
	SZ300746	汉嘉设计	--	+0.93%	14.06	+0.13	14.05	14.06	3152500	43995889	61000--	+0.07%	+0.79%	+0.75	1.41%	-23.18	3173880900	3143049000	99.03%	+0.07%	--	--	--	--	--	1429000	1723500	0.829	--	无	无	-0.13	0.70		25360670	4.13	0.112	IT服务	IT服务	13.93	13.95	+0.14%	--	14.10	13.85	+1.15%	+2.63%	+1.66%	+23.23%	1.79%	30900	44100	7638	--	-30.34	--	225738330	223545450	64537107亿	476.3%	3.41	2	7.39	--	--	--	20180525	
4	SZ300558	贝达药业	--	+0.93%	57.42	+0.53	57.42	57.47	10152520	587203110	77200--	+0.00%	-1.75%	-0.74	2.42%	+65.92	24158537000	24081527000	99.68%	+0.00%	--	--	--	--	--	5969499	4183021	1.43	--	无	无	0.17	0.93	79.66	316932360	4.13	0.760	化学制剂	化学制药	56.89	58.44	+2.72%	--	58.65	57.01	-0.09%	+0.21%	-15.31%	+6.87%	2.88%	22800	300	32253	+0.07	10.61	--	420733840	419392660	391574050亿	-23.86%	13.89	2	-33.02	--	--	--	20161107	
32	SH688373	盟科药业-U	--	+0.93%	7.59	+0.07	7.59	7.60	21864616	164161670	176602--	-0.13%	+0.26%	+1.09	4.16%	-59.60	4976045700	3988480500	80.15%	-0.13%	--	--	--	--	--	10993497	10871119	1.01	--	无	无	-0.45	1.36		-193536150	19.32	-0.300	化学制剂	化学制药	7.52	7.57	+0.66%	--	7.69	7.32	+0.26%	-3.80%	-9.10%	+53.64%	4.92%	7150	548027	23564	+0.00	-20.38	--	655605490	525491510	-193407150亿	33.56%	0.39	2	97.12	--	--	--	20220805	
4	SZ300917	特发服务	--	+0.93%	41.22	+0.38	41.21	41.22	3558909	146130710	69700--	+0.02%	+1.03%	+0.39	2.11%	-86.51	6966180000	6966180000	100.00%	+0.02%	--	--	--	--	--	1712321	1846588	0.927	--	无	无	-0.00	0.86	53.33	90885095	5.99	0.538	房地产服务	房地产	40.84	40.80	-0.10%	--	41.33	40.75	+1.05%	-1.39%	-7.31%	-14.36%	1.42%	500	49135	8501	--	-0.23	--	169000000	169000000	128383227亿	10.97%	6.88	8	-42.11	--	--	--	20201221	
	SZ002877	智能自控	--	+0.93%	8.68	+0.08	8.68	8.69	3739636	32404529	58300--	-0.12%	+0.46%	+0.17	1.55%	-67.59	3088723300	2087667200	67.59%	-0.12%	--	--	--	--	--	1681771	2057865	0.817	--	无	无	-0.07	0.62	517.9	16947720	2.55	0.048	金属制品	通用设备	8.60	8.64	+0.47%	--	8.70	8.60	-2.14%	+2.12%	+0.70%	+4.96%	1.16%	20600	50000	8177	--	-70.98	--	355843700	240514650	17443152亿	-49.68%	3.41	6	5.70	--	--	--	20170605	
4	SZ300995	奇德新材	--	+0.93%	43.41	+0.40	43.41	43.42	1804800	78641328	5900--	-0.02%	-0.89%	-0.38	3.01%	-15.12	3653385600	2606492900	71.34%	-0.02%	--	--	--	--	--	1049923	754877	1.39	--	无	无	-0.10	0.85	229.7	12795739	5.83	0.153	改性塑料	塑料制品	43.01	43.80	+1.84%	--	44.05	43.06	-7.72%	-7.32%	-8.84%	+177.20%	2.30%	900	4300	8156	--	-14.65	--	84160000	60043606	12789405亿	129.5%	7.44	2	3.69	--	--	--	20210526	
	SZ000573	粤宏远Ａ	--	+0.93%	4.35	+0.04	4.34	4.35	13085502	56730978	456100--	+0.00%	+0.93%	+0.34	2.07%	-41.80	2776520600	2753397000	99.17%	+0.00%	--	--	--	--	--	5823251	7262251	0.802	--	无	无	-0.17	0.87	42.55	74189858	1.69	0.116	住宅开发	房地产	4.31	4.31	+0.00%	--	4.36	4.29	+0.93%	+0.69%	+6.10%	+47.96%	1.62%	270100	450300	13342	--	-24.43	--	638280600	632964820	84438753亿	291.4%	2.58	5	9.30	--	--	--	19940815	
	SH600613	神奇制药	--	+0.93%	6.53	+0.06	6.52	6.53	8622261	56019415	81400--	+0.15%	+0.62%	+0.51	1.80%	-26.52	3487487700	3129959500	89.75%	+0.15%	--	--	--	--	--	3248463	5373798	0.605	--	无	无	-0.07	1.63	55.95	50301604	1.49	0.090	化学制剂	化学制药	6.47	6.49	+0.31%	--	6.54	6.44	+1.71%	+3.65%	+2.19%	-2.68%	1.55%	11000	140100	12068	+0.00	-17.90	--	534071630	479319980	65157787亿	-15.25%	4.37	3	0.00	--	--	--	19920820	
4	SZ002073	软控股份	--	+0.93%	8.71	+0.08	8.70	8.71	31191200	268355210	281600--	+0.00%	+0.93%	+1.23	3.08%	-41.14	8881817100	8833022900	99.45%	+0.00%	--	--	--	--	--	16289350	14901850	1.09	--	无	无	-0.12	0.72	19.07	303039590	1.45	0.297	其他专用设备	专用设备	8.63	8.63	+0.00%	--	8.72	8.48	+6.61%	+7.27%	+1.04%	+7.40%	2.78%	50300	45500	33681	--	-10.04	--	1019726420	1014124320	408563420亿	-11.75%	6.01	2	13.70	--	--	--	20061018	
4	SZ301051	信濠光电	--	+0.93%	22.87	+0.21	22.87	22.88	3538608	79891902	18400--	-0.13%	+1.06%	+1.29	2.20%	-23.53	4643603800	3682252200	79.30%	-0.13%	--	--	--	--	--	1483962	2054646	0.722	--	无	无	-0.15	1.07		-87996641	2.11	-0.434	消费电子零部件及组装	消费电子	22.66	22.63	-0.13%	--	22.94	22.30	-3.54%	+6.97%	+2.19%	+1.61%	2.82%	6100	900	11779	--	-18.86	--	203043460	161007970	-152130710亿	57.43%	10.86	1	-11.20	--	--	--	20210827	
	SZ002605	姚记科技	--	+0.93%	26.18	+0.24	26.17	26.18	5602169	146243860	57200--	+0.04%	+0.46%	+0.29	1.66%	-8.02	10933943900	8828831600	80.75%	+0.04%	--	--	--	--	--	2676350	2925819	0.915	--	无	无	-0.10	1.30	21.65	390157600	2.97	0.944	游戏	游戏	25.94	26.06	+0.46%	--	26.28	25.95	+1.08%	+3.85%	-5.73%	+0.08%	1.27%	37800	17900	9860	--	-17.60	--	417644920	337235740	475836480亿	-8.00%	8.81	2	20.22	--	--	--	20110805	
	SH605007	五洲特纸	--	+0.93%	12.00	+0.11	11.99	12.00	3742391	45080466	17800--	+0.08%	+0.84%	-0.39	0.93%	+29.99	5722817000	4818606700	84.20%	+0.08%	--	--	--	--	--	1679300	2063091	0.814	--	无	无	-0.00	0.93	26.52	180947170	1.67	0.380	造纸	造纸	11.89	11.90	+0.08%	--	12.17	11.90	+2.13%	+4.08%	+2.74%	-4.31%	2.27%	54600	26400	5517	+0.00	-0.41	--	476901410	401550560	208251190亿	-44.66%	7.21	2	1.69	--	--	--	20201110	
